OGC_FID,status,licensetype,issuedate,premisesaddress,x,y,business
1,ACTIVE,51,1951-07-20T,"1215 EL CARMEL PL, SAN DIEGO, CA  92109",6254804.29475,1864266.24383,
2,ACTIVE,41,1978-06-05T,"9349 MIRA MESA BLVD, SAN DIEGO, CA  92126",6293628.59978,1914460.91829,Capriccio Italian Restaurant
3,ACTIVE,21,1964-08-18T,"3744 OCEAN VIEW BLVD, SAN DIEGO, CA  92113",6295956.46286,1836127.88794,Ocean View Liquor
4,ACTIVE,21,1978-01-01T,"3515 UNIVERSITY AVE, SAN DIEGO, CA  92104",6294905.46483,1853601.89491,Market Place The
5,ACTIVE,48,1977-05-18T,"1833 GARNET AVE, SAN DIEGO, CA  92109",6258595.20892,1872475.61267,Silver Fox Associates Inc
6,ACTIVE,21,1971-06-17T,"3787 INGRAHAM ST, SAN DIEGO, CA  92109",6258287.44626,1868131.15513,Crest
7,ACTIVE,21,1979-08-20T,"4210 MARKET ST, SAN DIEGO, CA  92102",6298837.55796,1839817.21672,
8,ACTIVE,21,1973-01-22T,"110 NATIONAL CITY BLVD, NATIONAL CITY, CA  91950",6300780.96722,1817985.40426,One Ten Liquor & Market
9,ACTIVE,47,1977-07-01T,"3263 CAMINO DEL MAR, DEL MAR, CA  92014",-1,-1,
10,ACTIVE,51,1967-07-01T,"3638 OCEAN VIEW BLVD, SAN DIEGO, CA  92113",6295266.30849,1836126.14478,Fra Club 62
11,ACTIVE,51,1968-08-07T,"25721 JESMOND DENE RD, ESCONDIDO, CA  92026",6302753.565,2006547.618,Moose Lodge Escondido 1874
12,ACTIVE,21,1964-12-15T,"302 W MISSION AVE, ESCONDIDO, CA  92025",6304558.57996,1991720.59709,Holiday Wine Cellar
13,ACTIVE,52,1967-09-11T,"210 W F ST, ENCINITAS, CA  92024",6241515.63653,1961032.15049,American Legion Post 416
14,ACTIVE,57,1965-11-24T,"3848 CENTRE ST, SAN DIEGO, CA  92103",6285387.84862,1853174.57455,Eagles Lodge San Diego Aerie 244
15,ACTIVE,47,1952-09-12T,"6 HENSLEY ST, SAN DIEGO, CA  92102",6289474.78048,1837636.86096,
16,ACTIVE,47,1978-01-01T,"15500 SAN PASQUAL VALLEY RD, SAN DIEGO, CA  92027",6331094.32675,1980549.44125,San Diego Zoo Safari Park
17,ACTIVE,51,1965-04-21T,"2606 N MISSION BAY DR, SAN DIEGO, CA  92109",6263487.90909,1871599.39394,San Diego Mission Bay Boat & Ski Club
18,ACTIVE,47,1979-01-05T,"477 CAMINO DEL RIO S, SAN DIEGO, CA  92108",-1,-1,
19,ACTIVE,21,1975-10-01T,"8985 MIRA MESA BLVD, SAN DIEGO, CA  92126",6291582.09813,1913426.90104,Rite Aid Store 5661
20,ACTIVE,52,1977-11-01T,"123 PALM AVE, IMPERIAL BEACH, CA  91932",6316375.5,1796701.33333,Veterans Of Foreign Wars
21,ACTIVE,51,1951-06-15T,"2017-19 S COAST HWY, OCEANSIDE, CA  92054",6213290.706,2019279.806,Loyal Order Of Moose 1325
22,ACTIVE,51,1966-10-11T,"444 COUNTRY CLUB LN, OCEANSIDE, CA  92054",6220723.96963,2017827.51348,Oceanside Elks Lodge 1561
23,ACTIVE,47,1978-01-01T,"7252 BROADWAY, LEMON GROVE, CA  91945",6318271.77734,1850994.42066,
24,ACTIVE,41,1979-05-07T,"2622 EL CAMINO REAL, STE B, CARLSBAD, CA  92008",6261019.797,1936914.786,That Pizza Place
25,ACTIVE,51,1977-03-01T,"12280 GREENS EAST RD, SAN DIEGO, CA  92128",6312376.85567,1957137.03336,Country Club Of Rancho Bernardo The
26,ACTIVE,51,1963-06-14T,"1393 WINDSOR RD, ENCINITAS, CA  92007",6248100.69419,1957088.13093,Elks Lodge Encinitas 2243
27,ACTIVE,47,1976-03-01T,"1362 N HARBOR DR, SAN DIEGO, CA  92101",6277664.47565,1842852.61728,
28,ACTIVE,21,1970-10-13T,"870 3RD AVE, CHULA VISTA, CA  91911",-1,-1,Vons 3063
29,ACTIVE,48,1974-12-01T,"684 TELEGRAPH CANYON RD, CHULA VISTA, CA  91910",6321149.54021,1808411.84854,Archway Lounge The
30,ACTIVE,21,1970-10-19T,"2800 FLETCHER PKWY, EL CAJON, CA  92020",6444286.029,1960865.359,Vons 2064
31,ACTIVE,51,1964-01-30T,"1947 E VISTA WAY, VISTA, CA  92084",6263513.70725,2028590.81263,
32,ACTIVE,21,1965-02-25T,"400 N 2ND ST, EL CAJON, CA  92021",-1,-1,Rite Aid Store 5626
33,ACTIVE,48,1952-10-10T,"2818 AVENIDA DE PORTUGAL, SAN DIEGO, CA  92106",-1,-1,
34,ACTIVE,48,1972-07-10T,"7245 LINDA VISTA RD, SAN DIEGO, CA  92111",6280315.51138,1868821.26628,Padre Gold Inc
35,ACTIVE,51,1966-11-18T,"901 ELKS LN, CHULA VISTA, CA  91910",6320134.71979,1808589.59877,
36,SUREND,41,1978-11-06T,"2752 E 18TH ST, NATIONAL CITY, CA  91950-5302",6307669.45455,1826413,Carnitas La Hacienda Restaurant
37,ACTIVE,20,1977-06-01T,"1210 BROADWAY, CHULA VISTA, CA  91911",6305734.85354,1801261.19221,Big Lots 4027
38,ACTIVE,20,1977-06-01T,"3705 ROSECRANS ST, SAN DIEGO, CA  92110",6268504.41057,1854521.14869,Big Lots 4038
39,ACTIVE,20,1977-06-01T,"6145 LAKE MURRAY BLVD, LA MESA, CA  91942",6324939.38851,1868329.2716,Big Lots 4047
40,ACTIVE,57,1971-11-15T,"1017 S MOLLISON AVE, EL CAJON, CA  92020",6346407,1864240.3485,German American Societies
41,ACTIVE,20,1976-02-10T,"111 N 2ND AVE, CHULA VISTA, CA  91910",-1,-1,San Diego Metro Koa
42,SUREND,21,1972-09-01T,"9759 MISSION GORGE RD, SANTEE, CA  92071",6336433.37632,1885576.17061,Rite Aid 5641
43,ACTIVE,21,1972-09-01T,"1135 AVOCADO AVE, EL CAJON, CA  92020",6344201.02462,1864297.26632,Rite Aid Store 5625
44,ACTIVE,47,1971-01-29T,"2401 CAMINO DEL RIO S, SAN DIEGO, CA  92108-3701",-1,-1,Bully'S Restaurant
45,ACTIVE,51,1978-10-03T,"14231 GARDEN RD 9/10, POWAY, CA  92064",6324446.80078,1928414.00191,Poway Valley Branch 70 Fleet Reserve
46,ACTIVE,40,1973-08-08T,"1524 MCKINLEY AVE, NATIONAL CITY, CA  91950",6296452.31325,1823660.58051,Cafe Estela
47,ACTIVE,52,1974-02-01T,"7245 LINDA VISTA RD 2ND FL, 2ND FL, SAN DIEGO, CA  92111",6280315.51138,1868821.26628,American Legion Linda Vista Post 731
48,ACTIVE,21,1994-01-01T,"439 SANTA FE DR, ENCINITAS, CA  92024",6245013.41883,1958068.6814,Rite Aid Store 5627
49,ACTIVE,52,1954-08-23T,"47 5TH AVE, CHULA VISTA, CA  91910",6303400.752,1984758.149,American Legion Chula Vista Post 434
50,ACTIVE,21,1968-03-15T,"6505 MISSION GORGE RD, SAN DIEGO, CA  92120",6301373.67186,1868842.7037,Rite Aid Store 5657
51,ACTIVE,52,1994-01-01T,"7815 ARMOUR ST, SAN DIEGO, CA  92111",6283841.46674,1879240.5162,American Legion Albert J Hickman Post 460
52,ACTIVE,51,1969-08-11T,"1648 30TH ST, SAN DIEGO, CA  92102",6290857.68742,1844044.30183,Moose Lodge San Diego 508
53,ACTIVE,52,1965-12-07T,"136 CHAMBERS ST, EL CAJON, CA  92020",6341311.04087,1870129.82819,Veterans Memorial Association
54,ACTIVE,21,1980-04-25T,"955 TAMARACK AVE, CARLSBAD, CA  92008-3414",6229763.5214,2000704.68206,Rite Aid Store 5621
55,ACTIVE,51,1979-05-29T,"1768 AVENIDA DEL MUNDO, CORONADO, CA  92118",-1,-1,Beach Club The
56,ACTIVE,21,1975-02-01T,"10460 CLAIREMONT MESA BLVD, SAN DIEGO, CA  92124",6299234.95381,1882911.1238,Vons 2134
57,ACTIVE,40,1972-10-13T,"14336 TIERRA BONITA RD, POWAY, CA  92064",6323162.41482,1935019.30824,Poway Valley Riders Association
58,ACTIVE,51,1994-01-01T,"1631 STRAND WAY, CORONADO, CA  92118",6277051.55696,1829233.27862,Coronado Yacht Club
59,ACTIVE,21,1971-05-26T,"3676 OCEAN VIEW BLVD, SAN DIEGO, CA  92113",6295513.12755,1836101.6142,
60,ACTIVE,47,1976-04-01T,"3768 MISSION BLVD, SAN DIEGO, CA  92109",6253574.12429,1866512.61045,Saskas
61,ACTIVE,50,1946-04-23T,"1011 ANCHORAGE LN, SAN DIEGO YACHT CLUB, SAN DIEGO, CA  92106",6259991.77778,1842904.33333,
62,ACTIVE,57,1962-03-13T,"88 L ST, CHULA VISTA, CA  91911",6311371.63158,1807522.20995,
63,ACTIVE,52,1963-02-04T,"299 I ST, CHULA VISTA, CA  91910",6307459.82369,1810496.63214,Vfw Robert H Scholer Post 2111
64,ACTIVE,20,1968-07-01T,"3720 EL CAJON BLVD, SAN DIEGO, CA  92105",6296322.831,1855789.803,Oconnors Church Goods
65,ACTIVE,21,1975-01-01T,"8310 MIRA MESA BLVD, SAN DIEGO, CA  92126",6286487.07733,1913334.65778,Vons 2136
66,ACTIVE,40,1976-09-01T,"2143 LOGAN AVE, SAN DIEGO, CA  92113",6287739.22687,1835071.91159,Logan Inn
67,ACTIVE,52,1974-08-05T,"12342 OLD POMERADO RD, POWAY, CA  92064",6311201.89133,1923581.06663,Vfw Lt Fred L Kent Post 7907
68,ACTIVE,51,1966-02-17T,"288 3RD AVE, CHULA VISTA, CA  91910",-1,-1,Fleet Reserve Assn Br 61 San Diego
69,ACTIVE,47,1979-01-30T,"421 W FELICITA AVE, ESCONDIDO, CA  92025",6308932.44974,1982721.76817,Brigantine The
70,ACTIVE,47,1953-11-17T,"2230 SHELTER ISLAND DR, SAN DIEGO, CA  92106",6263193.04827,1842998.51852,Bali Hai
71,ACTIVE,21,1969-10-23T,"4077 GOVERNOR DR, SAN DIEGO, CA  92122",6269150.6177,1891892.98602,Rite Aid Store 5658
72,ACTIVE,51,1972-05-19T,"2702 QUALTROUGH ST, SAN DIEGO, CA  92106",6259084.37259,1841192.08919,Southwestern Yacht Club
73,ACTIVE,52,1964-07-02T,"7785 OTHELLO AVE, SAN DIEGO, CA  92111",6283435.79819,1878124.54775,Vfw Kearny Mesa Post 3788
74,ACTIVE,21,1975-03-01T,"5630 LAKE MURRAY BLVD, LA MESA, CA  91942",6321845.05362,1864930.6011,Vons 2137
75,ACTIVE,47,1973-05-30T,"158 N COAST HIGHWAY 101, ENCINITAS, CA  92024",6241680.13087,1963195.27517,Captain Kenos
76,ACTIVE,51,1994-01-01T,"1950 HARBOR DR N, OCEANSIDE, CA  92054",6217850.2425,2048453.302,Oceanside Yacht Club
77,ACTIVE,52,1994-01-01T,"2100-08 LOGAN AVE, SAN DIEGO, CA  92113",6295996,1834508.501,Don Diego Vfw Post 7420
78,ACTIVE,21,1983-12-30T,"6939 LINDA VISTA RD, SAN DIEGO, CA  92111",6279058.63187,1866700.87654,Rite Aid Store 5649
79,ACTIVE,21,1979-01-11T,"505 TELEGRAPH CANYON RD, CHULA VISTA, CA  91910",6318133.04213,1809709.18277,Vons 2006
80,ACTIVE,47,1987-06-29T,"1852 BACON ST, SAN DIEGO, CA  92107",6253641.56027,1852829.41595,Natis Mexican Restaurant
81,ACTIVE,47,1975-10-01T,"975 GREENFIELD DR, EL CAJON, CA  92021",6346741.83417,1876428.83333,Calypso
82,ACTIVE,47,1994-01-01T,"2181 HOTEL CIR S, SAN DIEGO, CA  92108",6274974.14397,1857135.74176,Rickys Family Restaurant
83,ACTIVE,41,1978-06-06T,"10615 TIERRASANTA BLVD, STE H, SAN DIEGO, CA  92124",6258545.3505,1872313.70225,
84,ACTIVE,57,1994-01-01T,"2001 MAIN ST, CHULA VISTA, CA  91911",6328631.40833,1796398.40309,San Diego County Swiss Club Inc
85,ACTIVE,21,1976-11-01T,"940 S SANTA FE AVE, VISTA, CA  92084",6260982.45652,2015674.00942,Vons 2121
86,ACTIVE,52,1976-01-01T,"465 47TH ST, SAN DIEGO, CA  92102",6302291.908,1839315.44275,American Legion Post 310
87,ACTIVE,51,1994-01-01T,"1400 E WASHINGTON AVE, EL CAJON, CA  92019",6352377.37667,1867352.72693,El Cajon Elks Lodge 1812
88,ACTIVE,52,1994-01-01T,"4370 TWAIN AVE, SAN DIEGO, CA  92120",6300528.44569,1866588.81706,Vfw Mission Valley Post 3787
89,ACTIVE,21,1994-01-01T,"1045 MORENA BLVD, SAN DIEGO, CA  92110",6269902.20837,1860485.14346,Moreno Blvd Market
90,ACTIVE,21,1994-01-01T,"5555 BALBOA AVE, SAN DIEGO, CA  92111",6276243.61165,1878806.41358,Vons 2040
91,ACTIVE,21,1994-01-01T,"1854 CORONADO AVE, SAN DIEGO, CA  92154",6253526.628,1850890.52,Rite Aid Store 5668
92,ACTIVE,47,1994-01-01T,"2150 HARBOR ISLAND DR, SAN DIEGO, CA  92101",6265406.71994,1844712.39506,Tom Hams Lighthouse
93,ACTIVE,52,1964-12-31T,"2885 LEMON GROVE AVE, LEMON GROVE, CA  91945",6321648.81168,1849129.38301,Veterans Of Foreign Wars Post 2082
94,ACTIVE,47,1994-01-01T,"505 KALMIA ST, SAN DIEGO, CA  92101",6281905.07171,1846652.11392,Imperial House Restaurant
95,ACTIVE,47,1978-01-01T,"2614 SHELTER ISLAND DR, SAN DIEGO, CA  92106",6261134.71449,1843514.58553,Red Sails Inn
96,ACTIVE,47,1994-01-01T,"2912 SHELTER ISLAND DR, SAN DIEGO, CA  92106",6260246.34224,1844010.82917,
97,ACTIVE,47,1994-01-01T,"621 VALLEY AVE, SOLANA BEACH, CA  92075",6252296.05531,1941010.11775,Tonys Jacal Inc
98,ACTIVE,48,1978-03-01T,"119 E BROADWAY, VISTA, CA  92084",6258023.76768,2018132.89899,Smittys Down Town
99,ACTIVE,47,1994-01-01T,"1333 ORANGE AVE, CORONADO, CA  92118",6276202.28703,1829493.77358,
100,SUREND,21,1994-01-01T,"1325 3RD AVE, CHULA VISTA, CA  91911",-1,-1,Rite Aid Store 5616
101,ACTIVE,52,1994-01-01T,"8118 UNIVERSITY AVE, LA MESA, CA  91941",6324088.80959,1860102.04938,American Legion Post 282
102,ACTIVE,47,1994-01-01T,"2335 MORENA BLVD, SAN DIEGO, CA  92110",6267873.84319,1867347.24838,Old Trieste Restaurant
103,ACTIVE,41,1994-01-01T,"1617 QUIVIRA RD, SAN DIEGO, CA  92109",6258006.97785,1859437.30961,Sportsmens Sea Food
104,SUREND,51,1958-01-20T,"2091 SHELTER ISLAND DR, SAN DIEGO, CA  92106",6261327.56024,1841507.06369,Silver Gate Yacht Club
105,ACTIVE,54,1976-05-01T,"1050 N HARBOR DR, SAN DIEGO, CA  92101",6277545.76198,1841805.2067,Flagship Cruises And Events Cabrillo
106,ACTIVE,54,1976-05-01T,"1050 N HARBOR DR, SAN DIEGO, CA  92101",6277545.76198,1841805.2067,Flagship Cruises And Events Marietta
107,ACTIVE,54,1976-05-01T,"1050 N HARBOR DR, SAN DIEGO, CA  92101",6277545.76198,1841805.2067,Flagship Cruises And Events Silvergate
108,ACTIVE,54,1976-05-01T,"1050 N HARBOR DR, SAN DIEGO, CA  92101",6277545.76198,1841805.2067,Flagship Cruises And Events Monterey
109,ACTIVE,47,1983-09-07T,"7878 CLAIREMONT MESA BLVD, SAN DIEGO, CA  92111",6284693.11983,1884159.06011,Godfather Restaurant The
110,ACTIVE,41,1957-06-27T,"711 TURQUOISE ST, SAN DIEGO, CA  92109",6251125.18569,1875311.32526,Pernicanos Pizza House
111,ACTIVE,21,1974-10-01T,"11986 BERNARDO PLAZA DR, SAN DIEGO, CA  92128",6309512.54434,1952167.15323,Vons 2079
112,ACTIVE,51,1956-06-10T,"1131 ROOSEVELT AVE, NATIONAL CITY, CA  91950",6298121.10513,1825491.01468,Eagles Aerie 2712
113,ACTIVE,21,1994-01-01T,"1735 EUCLID AVE, SAN DIEGO, CA  92105",6305182.21988,1843968.20446,Rite Aid Store 5646
114,ACTIVE,52,1994-01-01T,"230 E PARK AVE, ESCONDIDO, CA  92025",6306341,1991559.87879,American Legion J B Clark Post 149
115,ACTIVE,52,1994-01-01T,"35 E 18TH ST, NATIONAL CITY, CA  91950",6299172.20523,1823785.2037,Larry E Bennett Post 255
116,ACTIVE,41,1994-01-01T,"1588 E MAIN ST, EL CAJON, CA  92021",6354382.21122,1874045.98091,Pernicanos
117,ACTIVE,47,1978-08-21T,"7126-30 UNIVERSITY AVE, LA MESA, CA  91941",6321063.941,1857485.706,Wongs Golden Palace
118,ACTIVE,41,1977-09-01T,"4475-79 INGRAHAM ST, SAN DIEGO, CA  92109",6256905.539,1873326.343,Marinos Pizza House
119,ACTIVE,47,1978-12-20T,"939 N COAST HWY, OCEANSIDE, CA  92054-2135",6213290.706,2019279.806,Main Attraction The
120,ACTIVE,21,1983-05-06T,"507 TELEGRAPH CANYON RD, CHULA VISTA, CA  91910",6318613.90105,1809617.00284,Rite Aid Store 5615
121,ACTIVE,41,1978-09-08T,"5550 LAKE MURRAY BLVD, LA MESA, CA  91942",6320594.72058,1864898.87476,Cocos 0132
122,ACTIVE,47,1994-01-01T,"9530 MURRAY DR, LA MESA, CA  91942",6333541.38285,1864608.62368,
123,ACTIVE,21,1976-12-01T,"2560 EL CAMINO REAL, CARLSBAD, CA  92008",6261019.797,1936914.786,Vons 2142
124,ACTIVE,41,1975-07-01T,"1825 E VISTA WAY, VISTA, CA  92084",6263026.45519,2027845.94444,Marcos Italian Restaurant
125,ACTIVE,41,1978-10-04T,"1065 CAMINO DEL RIO S, SAN DIEGO, CA  92108",-1,-1,Dennys Restaurant 1268
126,ACTIVE,51,1994-01-01T,"4425 HOME AVE, SAN DIEGO, CA  92105",6300669.37137,1846091.61841,Columbus Club Of San Diego
127,ACTIVE,48,1978-08-22T,"744 VENTURA PL, SAN DIEGO, CA  92109",6253735.08033,1862228.68387,Coaster Saloon The
128,ACTIVE,41,1977-02-01T,"9988 SCRIPPS RANCH BLVD, SAN DIEGO, CA  92131",6301047.52362,1909311.93357,Pernicanos Ristorante
129,ACTIVE,51,1969-11-13T,"515 W VALLEY PKWY, ESCONDIDO, CA  92025",6314142.68498,1978684.8541,Escondido Columbus Club
130,ACTIVE,47,1979-02-02T,"6333 MISSION GORGE RD, SAN DIEGO, CA  92120",6301246.07619,1868083.56728,Tio Leos
131,ACTIVE,44,1979-01-22T,"2803 EMERSON ST PIER III, SAN DIEGO, CA  92106",6261233.0522,1844150.43205,Red Rooster
132,ACTIVE,41,1979-08-09T,"1212 CAMINO DEL MAR, DEL MAR, CA  92014",-1,-1,Board & Brew
133,ACTIVE,41,1979-09-11T,"3335 EL CAJON BLVD, SAN DIEGO, CA  92104",6293717.34831,1855594.86509,Venice Pizza House
134,ACTIVE,41,1981-03-18T,"1011 S SANTA FE AVE, STE C & D, VISTA, CA  92083",6261624.04229,2014932.77139,Feliccias Italian Restaurant & Deli
135,ACTIVE,41,1979-08-28T,"6118 PASEO DEL NORTE, CARLSBAD, CA  92011",6234556.80175,1988876.5615,Tip Top Meats European Deli Inc
136,ACTIVE,41,1979-10-16T,"260 PALM AVE, IMPERIAL BEACH, CA  91932",6316557.29134,1796123.2462,El Tapatio Restaurant
137,ACTIVE,47,1979-11-16T,"2968 STATE ST, CARLSBAD, CA  92008-2336",6225273.49213,2003542.13418,Garcias Mexican Restaurant & Creative Catering
138,ACTIVE,40,1979-11-05T,"1556 CAMINO DEL ARROYO, SAN MARCOS, CA  92078",-1,-1,Executive Golf Course
139,ACTIVE,47,1980-03-27T,"1025 FLETCHER PKWY, EL CAJON, CA  92020-1821",6551125.092,2013932.462,Cocos 1162
140,ACTIVE,41,1980-02-14T,"6930 ALVARADO RD, SAN DIEGO, CA  92120",6316046.44602,1862742.95679,D Z Akins
141,ACTIVE,47,1980-02-04T,"1404 CAMINO DEL MAR, DEL MAR, CA  92014",-1,-1,Bullys Del Mar
142,ACTIVE,52,1980-05-13T,"3563-65 ADAMS AVE, SAN DIEGO, CA  92116",6291989.268,1858590.079,
143,ACTIVE,21,1980-04-16T,"2345 E VALLEY PKWY, ESCONDIDO, CA  92027",6302337.84027,2003772.8451,Vons 2156
144,ACTIVE,47,1980-05-02T,"831 W HARBOR DR, SAN DIEGO, CA  92101",6278739.2809,1838848.2284,Harbor House
145,ACTIVE,41,1980-05-27T,"3528 BARNETT AVE, SAN DIEGO, CA  92110",6270101.90126,1852357.49431,Volares Italian Restaurant
146,ACTIVE,41,1980-08-20T,"2805 EMERSON ST, SAN DIEGO, CA  92106",6261233.0522,1844150.43205,Point Loma Seafoods
147,ACTIVE,48,1980-05-27T,"4202 VOLTAIRE ST, SAN DIEGO, CA  92107",6258886.31332,1851960.30929,
148,ACTIVE,21,1980-07-11T,"3012 GRAPE ST, SAN DIEGO, CA  92102",6291065.74746,1845328.15764,Bottle House The
149,ACTIVE,48,1980-07-14T,"2893 MISSION BLVD, SAN DIEGO, CA  92109",6253947.81083,1859790.28467,Pennant The
150,ACTIVE,47,1980-08-07T,"15244 OLDE HIGHWAY 80, EL CAJON, CA  92021",6378434.81096,1891711.61009,Bongiovannis Italian Restaurant
151,ACTIVE,48,1980-10-14T,"4671-75 PARK BLVD, SAN DIEGO, CA  92116",6284957.745,1845339.79,Lancers
152,ACTIVE,41,1980-09-04T,"6133 BALBOA AVE, SAN DIEGO, CA  92111",6277345.19416,1879254.15687,
153,ACTIVE,42,1980-10-06T,"3786 INGRAHAM ST, SAN DIEGO, CA  92109",6258127.5824,1868140.17415,Rockys Crown Pub Inc
154,ACTIVE,41,1980-10-02T,"316 W MISSION AVE, STE 101 102 103, ESCONDIDO, CA  92025",6304122.58929,1991907.48157,Golden Egg Omelet House
155,ACTIVE,41,1980-11-15T,"403 W GRAND AVE, ESCONDIDO, CA  92025",6305795.21579,1988018.46247,
156,ACTIVE,41,1980-11-28T,"114 W GRAND AVE, ESCONDIDO, CA  92025",6306911.86927,1988951.04874,
157,ACTIVE,47,1981-01-19T,"1660 COAST BLVD, DEL MAR, CA  92014",6249369.36383,1931290.55535,Jakes Del Mar
158,ACTIVE,48,1981-01-13T,"5617 BALBOA AVE, SAN DIEGO, CA  92111",6276015.12835,1879201.30225,Blarney Stone Pub
159,ACTIVE,21,1981-02-13T,"980 TURQUOISE ST, SAN DIEGO, CA  92109",6252547.52389,1875850.39318,Heidis Liquor & Deli
160,ACTIVE,48,1981-04-16T,"3845 5TH AVE, SAN DIEGO, CA  92103-3141",6304467.834,1985558.905,Number One Fifth Ave
161,ACTIVE,20,1981-04-23T,"1716 BROADWAY, CHULA VISTA, CA  91911",6307609.43478,1796964.73913,Otay Farms
162,ACTIVE,21,1985-05-10T,"402 CIVIC CENTER DR, NATIONAL CITY, CA  91950",6297137.04543,1824692.07066,
163,ACTIVE,47,1981-09-10T,"8703 MURRAY DR, LA MESA, CA  91942",6326930.66667,1863031,Red Lobster 504
164,ACTIVE,20,1981-08-05T,"559 GREENBRIER DR B, OCEANSIDE, CA  92054",6223142.0412,2016569.868,Kyoto Gift & Food
165,ACTIVE,41,1981-09-08T,"879 W HARBOR DR, STE E, SAN DIEGO, CA  92101",6278065.17697,1838978.83951,Greek Islands Cafe
166,ACTIVE,20,1981-09-23T,"2514 MAIN ST, CHULA VISTA, CA  91911",6306183.21976,1797398.45453,Santa Fe Meats
167,ACTIVE,47,1987-04-07T,"3770 MISSION BLVD, SAN DIEGO, CA  92109",6253409.03382,1866549.95035,Saskas
168,ACTIVE,41,1982-01-18T,"320 N MIDWAY DR, STE B, ESCONDIDO, CA  92027",6316784.70895,1993891.04731,Bamboo House Restaurant
169,ACTIVE,47,1982-01-13T,"861 W HARBOR DR, SAN DIEGO, CA  92101",6278649.91876,1839040.213,Edgewater Grill
170,ACTIVE,47,1982-03-29T,"7380 GOLFCREST PL, SAN DIEGO, CA  92119",6321129.28,1872337.868,Mission Trails Golf Course
171,ACTIVE,47,1982-09-10T,"3665 N HARBOR DR, SAN DIEGO, CA  92101",6270034.98058,1846491.63107,Host International Inc
172,ACTIVE,55,1982-05-28T,"3225 N HARBOR DR, COMMUTER TERMINAL, SAN DIEGO, CA  92101",6272154.75389,1846398.90778,Southwest Airlines
173,ACTIVE,48,1982-06-10T,"2901-03 MISSION BLVD, SAN DIEGO, CA  92109",6253550.486,1865932.978,Beach Comber
174,ACTIVE,48,1982-10-05T,"1587 E VISTA WAY, A & B, VISTA, CA  92084",6263464.3974,2026018.61388,Jim Vista Lounge
175,ACTIVE,41,1982-06-25T,"10330 FRIARS RD, STE 101 102 & 103, SAN DIEGO, CA  92120",6299892.07692,1868419.38462,Filippis Pizza Grotto
176,ACTIVE,21,1982-07-22T,"671 S RANCHO SANTA FE RD, SAN MARCOS, CA  92078",6268813.99051,1993441.294,Vons 2174
177,ACTIVE,64,1982-08-18T,"1363 OLD GLOBE WAY, SAN DIEGO, CA  92101-1642",6284455.40704,1847535.99497,Old Globe Theatre The
178,ACTIVE,47,1983-01-13T,"2489 SAN DIEGO AVE, SAN DIEGO, CA  92110",6271231.12487,1854820.75874,Old Town Mexican Cafe
179,ACTIVE,41,1982-11-29T,"406 MAIN ST, VISTA, CA  92084",6258839.08378,2019208.09952,Village Cafe
180,ACTIVE,41,1983-03-14T,"3904 CONVOY ST, STE 102, SAN DIEGO, CA  92111",6283758.83561,1877444.38991,Imperial Mandarin Restaurant
181,ACTIVE,41,1982-11-05T,"5156 WARING RD, SAN DIEGO, CA  92120",6305965.77421,1868909.85762,Mona Lisa Italian Foods
182,ACTIVE,20,1982-12-27T,"1705 S 39TH ST, SAN DIEGO, CA  92113",6297042.21926,1831362.56761,Tom Boy Market
183,ACTIVE,21,1983-04-18T,"10016 SCRIPPS RANCH BLVD, SAN DIEGO, CA  92131",6297684.6349,1910612.34519,Vons 4018
184,ACTIVE,48,1983-02-23T,"999 NATIONAL CITY BLVD, NATIONAL CITY, CA  91950",6300784.03963,1817975.78664,Trophy Lounge
185,ACTIVE,48,1983-04-05T,"4000 KEARNY MESA RD, SAN DIEGO, CA  92111",6284625.07091,1877482.37144,Pure Platinum
186,ACTIVE,41,1983-08-19T,"610-16 W MARKET ST, SAN DIEGO, CA  92101",6280452.001,1839877.5,Kansas City Barbeque
187,ACTIVE,41,1983-06-30T,"1776 SUNSET CLIFFS BLVD, SAN DIEGO, CA  92107",6254370.05916,1851559.183,Espresso Pizza
188,ACTIVE,48,1983-05-31T,"1310 SCOTT ST, SAN DIEGO, CA  92106",6260610.16092,1844425.48809,Club Marina Corporation
189,SUREND,47,1987-05-06T,"2045 E VALLEY PKWY, ESCONDIDO, CA  92027",6302423.712,2003854.192,Truly Yours Family Restaurant
190,ACTIVE,47,1983-11-04T,"1304-06 ROSECRANS ST, SAN DIEGO, CA  92106",6263770.196,1849286.524,Casa De Loma
191,ACTIVE,41,1983-11-07T,"3179 CARLSBAD BLVD, CARLSBAD, CA  92008",6240488.75625,2018100.50396,Harbor Fish Cafe
192,ACTIVE,20,1983-09-21T,"5465 MISSION CENTER RD, SAN DIEGO, CA  92108",6283940.06673,1862592.2963,Mission Center Texaco
193,ACTIVE,20,1983-11-30T,"6041 MISSION GORGE RD, SAN DIEGO, CA  92120",6301220.48402,1866136.59326,Iowa Meat Farms
194,ACTIVE,47,1983-11-14T,"1107 ORANGE AVE, CORONADO, CA  92118",6275899.06483,1830109.56967,Mcps Irish Pub
195,ACTIVE,47,1984-04-03T,"2734 CALHOUN ST, SAN DIEGO, CA  92110",6270603.83567,1855543.18596,El Fandango Restaurant
196,ACTIVE,47,1984-02-09T,"330 F ST, CHULA VISTA, CA  91910",6305880.90688,1813923.89754,Marie Callenders 103
